,dist_to_cage,type_cage,ccaat,GCbox,tatabox,init,CpG200,tpm_class,n
1,distal,broad,0,0,0,0,0,tpm_iqr,17
2,distal,broad,0,0,0,0,0,tpm_lower_quart,6
3,distal,broad,0,0,0,0,0,tpm_upper_quart,6
4,distal,broad,0,0,0,0,1,tpm_iqr,85
5,distal,broad,0,0,0,0,1,tpm_lower_quart,40
6,distal,broad,0,0,0,0,1,tpm_upper_quart,70
7,distal,broad,0,0,0,0,1,NA,1
8,distal,narrow,0,0,0,0,0,tpm_iqr,13
9,distal,narrow,0,0,0,0,0,tpm_lower_quart,6
10,distal,narrow,0,0,0,0,0,tpm_upper_quart,2
11,distal,narrow,0,0,0,0,1,tpm_iqr,49
12,distal,narrow,0,0,0,0,1,tpm_lower_quart,28
13,distal,narrow,0,0,0,0,1,tpm_upper_quart,4
14,downstram200,broad,0,0,0,0,0,tpm_iqr,3
15,downstram200,broad,0,0,0,0,0,tpm_upper_quart,1
16,downstram200,broad,0,0,0,0,1,tpm_iqr,15
17,downstram200,broad,0,0,0,0,1,tpm_lower_quart,2
18,downstram200,broad,0,0,0,0,1,tpm_upper_quart,5
19,downstram200,narrow,0,0,0,0,0,tpm_iqr,1
20,downstram200,narrow,0,0,0,0,0,tpm_lower_quart,1
21,downstram200,narrow,0,0,0,0,1,tpm_iqr,4
22,downstram200,narrow,0,0,0,0,1,tpm_lower_quart,2
23,upstream200,broad,0,0,0,0,0,tpm_iqr,14
24,upstream200,broad,0,0,0,0,0,tpm_lower_quart,6
25,upstream200,broad,0,0,0,0,0,tpm_upper_quart,13
26,upstream200,broad,0,0,0,0,1,tpm_iqr,227
27,upstream200,broad,0,0,0,0,1,tpm_lower_quart,99
28,upstream200,broad,0,0,0,0,1,tpm_upper_quart,159
29,upstream200,broad,0,0,0,0,1,NA,1
30,upstream200,narrow,0,0,0,0,0,tpm_iqr,10
31,upstream200,narrow,0,0,0,0,0,tpm_lower_quart,4
32,upstream200,narrow,0,0,0,0,0,tpm_upper_quart,3
33,upstream200,narrow,0,0,0,0,1,tpm_iqr,95
34,upstream200,narrow,0,0,0,0,1,tpm_lower_quart,76
35,upstream200,narrow,0,0,0,0,1,tpm_upper_quart,5
